	layer_id	name	D	Lambda	M	N	alpha	alpha_weighted	best_fit	bulk_mean_loc_ratio	bulk_mean_part_ratio	bulk_mean_vec_entropy	bulk_var_loc_ratio	bulk_var_part_ratio	bulk_var_vec_entropy	entropy	has_esd	lambda_max	layer_type	log_alpha_norm	log_norm	log_spectral_norm	matrix_rank	norm	num_evals	num_pl_spikes	rank_loss	rf	sigma	spectral_norm	stable_rank	sv_max	tail_mean_loc_ratio	tail_mean_part_ratio	tail_mean_vec_entropy	tail_var_loc_ratio	tail_var_part_ratio	tail_var_vec_entropy	warning	xmax	xmin
0	1		0.14968283834608243	-1.0	3.0	64.0	4.552612382802532	-0.5253697395914709	truncated_power_law	2.0026130042011356	1.1833437496530606	1.0986122917445909	0.11072316659289257	0.004432787861750048	4.813869045806662e-19	0.9720000930737263	1.0	0.7666557192630422	LAYER_TYPE.CONV2D	0.37763411182381595	1.6006984514984517	-0.11539962013371757	147.0	39.87479391432995	147.0	39.0	0.0	49.0	0.5688732620432609	0.7666557192630422	52.01134343934734	0.8755887843405957	1.793633973828771	1.1351064398563309	1.098612290749514	0.15457066355661658	0.006205757304021828	6.681893962105857e-19	success	0.7666557192630422	0.34944171993230844
1	5		0.15194341141641993	-1.0	64.0	64.0	1.9115724194633925	0.8849487282665691	truncated_power_law	20.009771047300692	2.176356121685573	3.6812729402703463	9.05368693988491	0.00936711023551694	0.007353400649501803	0.8452884386783648	1.0	2.903640336915039	LAYER_TYPE.CONV2D	2.245528623724318	2.209409172521037	0.46294282092382755	576.0	161.96052374827534	576.0	190.0	0.0	9.0	0.06613241405760126	2.903640336915039	55.77843842751876	1.7040071410986044	19.578137162404317	2.1578454087171997	3.668389551006939	9.922378632037752	0.010890940483863128	0.00782302199583279	over-traoined	2.903640336915039	0.18752713026589102
2	7		0.11604072334419491	-1.0	32.0	64.0	3.0606510927816037	1.06106736370619	truncated_power_law	10.880059467886449	1.8352350469267422	3.2291698785753575	3.3703844486712677	0.011295183505825132	0.00777419246375971	0.8918883598489059	1.0	2.221673707531534	LAYER_TYPE.CONV2D	1.9777903478097763	1.9364126555921968	0.34668027538606594	288.0	86.37989177621137	288.0	47.0	0.0	9.0	0.30057685412871576	2.221673707531534	38.88054824764825	1.4905279962253422	10.550194194603284	1.820428631233992	3.2203594690779154	2.6545919442788857	0.009004083094178848	0.008066101179175915	success	2.221673707531534	0.579746729817206
3	9		0.08628261444724883	-1.0	32.0	32.0	2.567871403916472	1.3853798149698056	truncated_power_law	10.51944272693096	1.8074453048264587	3.224462260608143	4.11016922625398	0.014729982976536993	0.009188208337190983	0.8200886036657095	1.0	3.463419816837262	LAYER_TYPE.CONV2D	1.9796768535684663	1.7683918914485988	0.5395051375457699	288.0	58.66673128516361	288.0	50.0	0.0	9.0	0.22173050034756198	3.463419816837262	16.938960445960923	1.8610265492026872	10.08003182683808	1.7899179463064476	3.2113308291925238	2.831823840673043	0.010118327947734849	0.013358384220986773	success	3.463419816837262	0.3358671501412028
4	13		0.10361401266396697	-1.0	64.0	128.0	2.1113770093252375	1.9494136433874205	truncated_power_law	19.77923981976335	2.1533702432074935	3.6598022636785794	11.570623341556205	0.013336082800539578	0.008243920621854186	0.8201662973048238	1.0	8.380890618991266	LAYER_TYPE.CONV2D	2.410465780552647	1.7962011487329699	0.923290172611296	64.0	62.54623161227843	64.0	28.0	0.0	1.0	0.2100305128220922	8.380890618991266	7.462957632515502	2.894976790751744	19.712402667499305	2.1484032524631824	3.6613056379130597	11.495918495094605	0.015057989077610922	0.010845360528886742	success	8.380890618991266	0.5574494403156466
5	16		0.10004943805353328	-1.0	64.0	128.0	2.209147600186898	2.0768559315993644	truncated_power_law	19.81993674272676	2.167246344362864	3.673342748017487	10.612407767367973	0.011997921973917398	0.007635259901895734	0.8838021178661937	1.0	8.711970964130282	LAYER_TYPE.CONV2D	2.8933017222915502	2.5121939062602268	0.9401164193029287	576.0	325.2324766111522	576.0	176.0	0.0	9.0	0.09114292968133196	8.711970964130282	37.33167591469587	2.9516048116457396	19.50709488378593	2.1509911687539383	3.6631775526473964	9.538942883601793	0.010329535053877584	0.008400747774738572	success	8.711970964130282	0.5130417698404729
6	18		0.09848665886644217	-1.0	32.0	64.0	3.0294000900014497	1.2653677486892956	truncated_power_law	11.159315409720532	1.8523281169454238	3.2346454697250056	3.1326900405792824	0.008839230265245097	0.006844180872817997	0.8984331102017944	1.0	2.6163498620499466	LAYER_TYPE.CONV2D	2.094626157917375	1.9744215453871807	0.4176958180154705	288.0	94.2804279969917	288.0	52.0	0.0	9.0	0.28142715703582544	2.6163498620499466	36.03509964952534	1.6175134812575587	11.533414591569075	1.868292717751088	3.245541904367782	5.23816980239957	0.015177664456952027	0.010399233641181511	success	2.6163498620499466	0.5613062300981617
7	20		0.12090155563093546	-1.0	32.0	32.0	2.204430126911994	0.7624248702629308	truncated_power_law	10.938718495479801	1.8370744561001804	3.2341554672367634	3.9552788225686295	0.01167914960279415	0.008550658233751415	0.807959439753485	1.0	2.2174830169205886	LAYER_TYPE.CONV2D	1.6145318766915215	1.6728924899606996	0.34586030237708165	288.0	47.08607499122165	288.0	58.0	0.0	9.0	0.15814942359359688	2.2174830169205886	21.23401831352464	1.4891215588126405	10.911123254385092	1.838131863487967	3.215153503209472	4.979764216097059	0.01737592183425389	0.006704673347980069	success	2.2174830169205886	0.21349509494434474
8	23		0.1180498282528325	-1.0	128.0	128.0	2.066322317077221	1.5823955573071178	truncated_power_law	36.77714052446946	2.5749314783437245	3.955436842125352	24.382399864590987	0.0077564958064649525	0.006989839053511367	0.8599858136936456	1.0	5.831803313733282	LAYER_TYPE.CONV2D	2.916448164482086	2.6686242335710384	0.7658028683276239	1152.0	466.25578529634197	1152.0	338.0	0.0	9.0	0.058000287795065754	5.831803313733282	79.95053334503905	2.4149126927765487	36.036941240680974	2.5574797600975856	3.9500396976323677	23.99619716159107	0.008944393466063785	0.007419455099990993	success	5.831803313733282	0.3568613752562585
9	25		0.15103675448204912	-1.0	64.0	128.0	2.6850242652203247	1.229246123973607	truncated_power_law	19.87533106613718	2.167817967180182	3.6727614255974355	9.749877479643937	0.010500891274950401	0.007835411984083156	0.922446847698744	1.0	2.8695622342195253	LAYER_TYPE.CONV2D	2.6065719548208626	2.44393741778353	0.4578156480357688	576.0	277.9312737493862	576.0	159.0	0.0	9.0	0.1336311165506529	2.8695622342195253	96.85493851119735	1.6939782271976005	19.55478083296093	2.1624594518505087	3.6561791680008793	11.526105790793899	0.012050100556879561	0.006868296893562525	success	2.8695622342195253	0.5934919387522913
